date,start_capital,end_capital,daily_pnl,daily_pnl_pct,trades_count,session_start_time,session_end_time,total_capital_from_start,cumulative_pnl
date,start_capital,end_capital,daily_pnl,daily_pnl_pct,trades_count,session_start_time,session_end_time,total_capital_from_start,cumulative_pnl
2025-11-07,100000.00,146310.00,+46310.00,+46.31%,16,2025-11-07T11:29:13.080561,2025-11-07T15:17:32.478271,146310.00,+46310.00
2025-11-10,146310.00,158815.00,+12505.00,+8.55%,11,2025-11-10T09:51:42.501731,2025-11-10T15:15:22.824099,158815.00,+58815.00
2025-11-11,158815.00,178365.00,+19550.00,+12.31%,30,2025-11-11T09:49:58.423030,2025-11-11T14:44:43.863941,178365.00,+78365.00
2025-11-12,178365.00,180178.41,+1813.41,+1.02%,9,2025-11-12T11:52:25.772332,2025-11-12T15:16:22.599304,180178.41,+80178.41
2025-11-13,180178.41,206201.93,+26023.52,+14.44%,13,2025-11-13T10:24:41.166096,2025-11-13T15:17:22.021531,206201.93,+106201.93
2025-11-14,206201.93,159071.98,-47129.94,-22.86%,26,2025-11-14T10:54:32.898174,2025-11-14T15:17:20.581921,159071.98,+59071.98
2025-11-17,159071.98,188138.47,+29066.49,+18.27%,34,2025-11-17T10:18:51.668726,2025-11-17T15:24:15.967720,188138.47,+88138.47
2025-11-18,100000.00,91657.87,-8342.13,-8.34%,46,2025-11-18T10:04:41.543851,2025-11-18T14:31:56.622096,91657.87,-8342.13
2025-11-19,100000.00,92630.56,-7369.44,-7.37%,21,2025-11-19T12:30:26.456520,2025-11-19T15:17:48.182188,92630.56,-7369.44
2025-11-20,100000.00,93508.22,-6491.78,-6.49%,21,2025-11-20T10:25:58.187908,2025-11-20T14:44:14.537886,93508.22,-6491.78
2025-11-21,100000.00,95927.00,-4073.00,-4.07%,15,2025-11-21T10:20:14.836394,2025-11-21T14:55:23.657856,95927.00,-4073.00
2025-11-24,95927.00,93838.76,-2088.24,-2.18%,3,2025-11-24T11:53:22.947199,2025-11-24T12:01:26.144399,93838.76,-6161.24
2025-11-25,100000.00,98546.17,-1453.83,-1.45%,19,2025-11-25T10:57:44.968577,2025-11-25T14:00:16.160030,98546.17,-1453.83
2025-11-26,98546.17,97240.11,-1306.06,-1.33%,5,2025-11-26T13:13:57.445126,2025-11-26T14:49:13.827522,97240.11,-2759.89
2025-11-27,97240.11,98452.08,+1211.97,+1.25%,6,2025-11-27T12:29:39.425846,2025-11-27T14:30:22.992765,98452.08,-1547.92
2025-11-28,98452.08,98578.54,+126.45,+0.13%,5,2025-11-28T12:25:14.480613,2025-11-28T15:15:30.366478,98578.54,-1421.46
2025-12-01,98578.54,110167.47,+11588.93,+11.76%,16,2025-12-01T11:47:04.897325,2025-12-01T12:25:29.446463,110167.47,+10167.47
2025-12-02,110167.47,105729.25,-4438.22,-4.03%,10,2025-12-02T11:58:30.154543,2025-12-02T13:24:24.899126,105729.25,+5729.25
2025-12-03,105729.25,101144.70,-4584.55,-4.34%,10,2025-12-03T13:13:00.997249,2025-12-03T14:24:45.393900,101144.70,+1144.70
2025-12-04,101144.70,95706.39,-5438.31,-5.38%,14,2025-12-04T11:24:21.868502,2025-12-04T14:01:28.633222,95706.39,-4293.61
2025-12-05,95706.39,120306.53,+24600.14,+25.70%,16,2025-12-05T11:17:52.519669,2025-12-05T13:11:59.986715,120306.53,+20306.53
2025-12-08,120306.53,140785.14,+20478.61,+17.02%,16,2025-12-08T13:05:36.628094,2025-12-08T13:34:54.982595,140785.14,+40785.14
2025-12-09,140785.14,125597.37,-15187.77,-10.79%,16,2025-12-09T10:16:34.564179,2025-12-09T12:28:14.239913,125597.37,+25597.37
2025-12-10,125597.37,124295.78,-1301.59,-1.04%,16,2025-12-10T10:50:33.293914,2025-12-10T12:47:50.277215,124295.78,+24295.78
2025-12-11,124295.78,122711.11,-1584.67,-1.27%,20,2025-12-11T10:36:16.707263,2025-12-11T14:33:10.099402,122711.11,+22711.11
2025-12-15,122711.11,123304.07,+592.96,+0.48%,8,2025-12-15T12:32:32.861184,2025-12-15T14:18:24.576017,123304.07,+23304.07
2025-12-17,123304.07,176930.11,+53626.03,+43.49%,10,2025-12-17T10:29:02.775277,2025-12-17T15:17:25.354311,176930.11,+76930.11
2025-12-18,176930.11,183198.19,+6268.08,+3.54%,18,2025-12-18T10:34:44.743396,2025-12-18T14:32:47.969871,183198.19,+83198.19
2025-12-19,183198.19,172301.70,-10896.49,-5.95%,20,2025-12-19T11:45:11.692784,2025-12-19T15:15:31.087084,172301.70,+72301.70
2025-12-22,172301.70,145466.75,-26834.95,-15.57%,4,2025-12-22T13:37:04.087614,2025-12-22T13:37:04.087614,145466.75,+45466.75
2025-12-30,145466.75,135623.43,-9843.32,-6.77%,8,2025-12-30T13:49:04.190775,2025-12-30T15:21:12.935095,135623.43,+35623.43
2026-01-05,135623.43,119714.86,-15908.57,-11.73%,20,2026-01-05T10:41:44.230676,2026-01-05T13:17:34.152771,119714.86,+19714.86
2026-01-06,119714.86,114375.36,-5339.50,-4.46%,4,2026-01-06T13:08:52.120033,2026-01-06T13:48:46.349755,114375.36,+14375.36
2026-01-08,114375.36,149281.61,+34906.25,+30.52%,20,2026-01-08T10:51:12.185220,2026-01-08T12:07:30.946912,149281.61,+49281.61
2026-01-09,149281.61,173736.92,+24455.31,+16.38%,20,2026-01-09T10:59:44.257863,2026-01-09T13:50:04.888293,173736.92,+73736.92
2026-01-19,173736.92,175139.60,+1402.68,+0.81%,10,2026-01-19T13:11:13.734864,2026-01-19T14:04:59.093189,175139.60,+75139.60
2026-01-20,175139.60,165846.81,-9292.79,-5.31%,8,2026-01-20T12:45:57.291925,2026-01-20T13:21:03.459875,165846.81,+65846.81
2026-01-21,165846.81,141969.36,-23877.45,-14.40%,18,2026-01-21T13:10:53.998135,2026-01-21T15:04:55.318769,141969.36,+41969.36
2026-01-22,141969.36,159087.04,+17117.68,+12.06%,20,2026-01-22T10:32:42.697167,2026-01-22T11:49:23.560042,159087.04,+59087.04
2026-01-23,159087.04,178732.01,+19644.97,+12.35%,20,2026-01-23T10:31:19.196827,2026-01-23T13:30:43.349478,178732.01,+78732.01
2026-02-01,178732.01,251309.90,+72577.89,+40.61%,20,2026-02-01T11:46:34.985114,2026-02-01T14:05:31.328021,251309.90,+151309.90
2026-02-02,251309.90,247568.31,-3741.59,-1.49%,20,2026-02-02T10:54:00.574475,2026-02-02T13:04:13.128200,247568.31,+147568.31
2026-02-06,247568.31,255928.70,+8360.39,+3.38%,20,2026-02-06T11:23:59.283477,2026-02-06T12:33:54.268683,255928.70,+155928.70
2026-02-09,255928.70,247076.95,-8851.75,-3.46%,21,2026-02-09T10:56:06.330839,2026-02-09T15:15:24.765779,247076.95,+147076.95
2026-02-10,247076.95,245618.38,-1458.57,-0.59%,2,2026-02-10T13:33:43.972052,2026-02-10T13:33:43.972052,245618.38,+145618.38
2026-02-11,245618.38,242865.03,-2753.34,-1.12%,20,2026-02-11T10:39:17.385976,2026-02-11T15:15:48.932658,242865.03,+142865.03
